_id,blockName,districtID,createDate,__v,govtBlockId,updatedAt,createdAt
67c6b7f7e202caba881790d4,ZIKZAK,67c6ada157f5829f07d44cfc,2025-03-04T08:21:11.560Z,0,171102,2025-03-04T08:21:11.561Z,2025-03-04T08:21:11.561Z
67c6baabba986c86a925336a,BAJENGDOBA,67c6ba9aba986c86a92531f0,2025-03-04T08:32:43.298Z,0,170803,2025-03-04T08:32:43.299Z,2025-03-04T08:32:43.299Z
67c6bac1ba986c86a9253556,RONGARA,67c6ada257f5829f07d44d07,2025-03-04T08:33:05.014Z,0,170303,2025-03-04T08:33:05.014Z,2025-03-04T08:33:05.014Z
66a36d373fae128449d03aad,UMSNING,66a36d363fae128449d03aaa,2024-07-26T09:32:39.106Z,0,170502,2024-07-26T09:32:39.106Z,2024-07-26T09:32:39.106Z
66a36eaf41e59281263c35e9,JIRANG,66a36d363fae128449d03aaa,2024-07-26T09:38:55.819Z,0,170503,2024-07-26T09:38:55.825Z,2024-07-26T09:38:55.825Z
66a35e0c847ef156cad45704,SAMANDA,66a35e0c847ef156cad45701,2024-07-26T08:27:56.746Z,0,170203,2024-07-26T08:27:56.748Z,2024-07-26T08:27:56.748Z
66a35dc2847ef156cad4565c,TURA URBAN AREA,660d0192d83fdbd7e0e8126d,2024-07-26T08:26:42.871Z,0,170107,2024-07-26T08:26:42.872Z,2024-07-26T08:26:42.872Z
67c6b801e202caba881791a6,MAIRANG,67c6b7fee202caba8817916b,2025-03-04T08:21:21.021Z,0,170403,2025-03-04T08:21:21.022Z,2025-03-04T08:21:21.022Z
66a35e19847ef156cad45729,DALU,660d0192d83fdbd7e0e8126d,2024-07-26T08:28:09.914Z,0,170105,2024-07-26T08:28:09.914Z,2024-07-26T08:28:09.914Z
65e6b63850589fd545144658,MAWPHLANG,65e6b420805e43c45e04c5a4,2024-03-05T06:05:44.904Z,0,170601,2024-07-26T08:20:09.499Z,
65e6b7c250589fd54514465e,MAWKYNREW,65e6b420805e43c45e04c5a4,2024-03-05T06:12:18.969Z,0,170604,2024-07-26T08:27:20.796Z,
65e6b4e70346b321cc356a68,SOHIONG,65e6b420805e43c45e04c5a4,2024-03-05T06:00:07.175Z,0,170610,2024-07-26T08:20:05.721Z,
67c6b83ae202caba8817957e,BETASING,67c6ada157f5829f07d44cfc,2025-03-04T08:22:18.867Z,0,171101,2025-03-04T08:22:18.869Z,2025-03-04T08:22:18.869Z
67c6b83fe202caba881795c4,RANIKOR,67c6b80be202caba8817928a,2025-03-04T08:22:23.021Z,0,171002,2025-03-04T08:22:23.022Z,2025-03-04T08:22:23.022Z
67c6baafba986c86a92533d7,KHARKUTTA,67c6ba9aba986c86a92531f0,2025-03-04T08:32:47.874Z,0,170802,2025-03-04T08:32:47.875Z,2025-03-04T08:32:47.875Z
66a36f8b41e59281263c3721,UMLING,66a36d363fae128449d03aaa,2024-07-26T09:42:35.479Z,0,170501,2024-07-26T09:42:35.480Z,2024-07-26T09:42:35.480Z
67c6b7fee202caba88179175,KHLIEHRIAT,67c6b7fee202caba88179172,2025-03-04T08:21:18.865Z,0,170901,2025-03-04T08:21:18.867Z,2025-03-04T08:21:18.867Z
66a35c2d847ef156cad455a9,AMLAREM,66a35ba2847ef156cad45591,2024-07-26T08:19:57.724Z,0,170703,2024-07-26T08:19:57.729Z,2024-07-26T08:19:57.729Z
65e6bb3750589fd54514467f,SHELLA BHOLAGANJ,65e6b420805e43c45e04c5a4,2024-03-05T06:27:03.876Z,0,170606,2024-07-26T07:51:26.765Z,
67c6b7efe202caba88179029,CHOKPOT,67c6ada257f5829f07d44d07,2025-03-04T08:21:03.494Z,0,170301,2025-03-04T08:21:03.494Z,2025-03-04T08:21:03.494Z
67c6b812e202caba88179302,MAWSHYNRUT,67c6b7ffe202caba88179189,2025-03-04T08:21:38.345Z,0,170401,2025-03-04T08:21:38.346Z,2025-03-04T08:21:38.346Z
660f8dbdecf58e7e735f49f2,MAWRYNGKNENG,65e6b420805e43c45e04c5a4,2024-04-05T05:35:57.428Z,0,170603,2024-07-26T08:27:16.989Z,
66a35e10847ef156cad45710,DADENGGRE,660d0192d83fdbd7e0e8126d,2024-07-26T08:28:00.614Z,0,170102,2024-07-26T08:28:00.614Z,2024-07-26T08:28:00.614Z
67c6ba9aba986c86a92531f3,RESUBELPARA,67c6ba9aba986c86a92531f0,2025-03-04T08:32:26.598Z,0,170801,2025-03-04T08:32:26.599Z,2025-03-04T08:32:26.599Z
66a372cbe38fbe7dc09d0c2e,BHOIRYMBONG,66a36d363fae128449d03aaa,2024-07-26T09:56:27.850Z,0,170504,2024-07-26T09:56:27.859Z,2024-07-26T09:56:27.859Z
67c6b7ffe202caba8817918c,NONGSTOIN,67c6b7ffe202caba88179189,2025-03-04T08:21:19.924Z,0,170402,2025-03-04T08:21:19.925Z,2025-03-04T08:21:19.925Z
67c6baadba986c86a9253395,BAGHMARA,67c6ada257f5829f07d44d07,2025-03-04T08:32:45.091Z,0,170302,2025-03-04T08:32:45.092Z,2025-03-04T08:32:45.092Z
65e6b5ef50589fd545144652,MYLLIEM,65e6b420805e43c45e04c5a4,2024-03-05T06:04:31.178Z,0,170602,2024-07-26T08:20:11.523Z,
67c6b819e202caba88179399,SAIPUNG,67c6b7fee202caba88179172,2025-03-04T08:21:45.204Z,0,170902,2025-03-04T08:21:45.204Z,2025-03-04T08:21:45.204Z
67c6ba90ba986c86a9253104,MAWTHADRAISHAN,67c6b7fee202caba8817916b,2025-03-04T08:32:16.676Z,0,170404,2025-03-04T08:32:16.677Z,2025-03-04T08:32:16.677Z
67c6bb15ba986c86a9253cfa,GASUAPARA,67c6ada257f5829f07d44d07,2025-03-04T08:34:29.640Z,0,170304,2025-03-04T08:34:29.640Z,2025-03-04T08:34:29.640Z
